Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cytokine-Mediated Signaling Pathway (GO:0019221)	70/255	3.229249544405586E-74	6.749131547807675E-71	0	0	39.151151151151154	6625.120491077465	CNTF;CSF3;CXCL9;CSF2;FLT3;IL1RAP;TNF;CX3CL1;IL36A;IL12B;IL12A;IL6R;IL10;IL11;IL4R;IL1R1;IL15;IL13;ADIPOQ;IL18;IL16;TNFRSF1B;F3;TNFRSF1A;IL1A;IL1B;KIT;XCL1;CCL14;CCL13;CSF1R;CCL11;PDGFB;IL22RA2;IL1RL1;CCL7;CCL5;CCL4;CCL3;CCL2;CCL19;CCL18;IL12RB1;CCL16;CCL15;TNFSF18;CCL25;CCL24;IL33;CCL23;TSLP;CCL21;IFNB1;IL10RB;IL2;IL4;CXCL10;GH1;IL3;CXCL11;IL6;CXCL12;IL5;IL7;CLCF1;IL2RA;LEP;IL9;IL17F;PF4
Inflammatory Response (GO:0006954)	62/261	3.9700748167937945E-61	4.148728183549515E-58	0	0	30.90590005866898	4298.358760840016	IL22;CXCL6;IL1RN;CXCL9;CXCL8;IFNA2;TREM2;CXCL13;TNF;CX3CL1;CXCL5;IL36A;LGALS9;TNFRSF4;IL13;WNT5A;IL18;TNFRSF1A;IL1A;IFNG;IL1B;KIT;CHI3L1;XCL1;TLR2;CCL14;CCL13;CSF1R;CCL11;IL1RL1;CCL7;CCL5;CCL4;CCL3;CCL2;CCL19;CCL18;ELANE;CCL16;CCL15;CCL25;CCL24;CCL23;VCAM1;CCL21;IL10RB;GZMB;PPBP;SELE;IL4;CXCL10;BMP2;IL6;CD40LG;IL5;IL2RA;IL9;PTX3;IL17D;CCL28;CCL27;PF4
Positive Regulation of Cell Population Proliferation (GO:0008284)	72/484	6.542107219199863E-56	4.557668029375905E-53	0	0	18.063548102383052	2295.2719413335367	IL21;CD86;CSF3;CSF2;FLT1;CSF1;FLT3;FGF1;AREG;TNF;CX3CL1;CXCL5;FGF4;FGF6;FGF7;FGF9;KDR;CCN4;TIMP1;IL6R;IL11;IL15;WNT5A;IL18;FLT3LG;ADAM10;NRG1;PGF;TGFBR1;TGFBR2;TGFBR3;ADAM17;IFNG;IL1B;KIT;GAS6;CCL14;CSF1R;PDGFB;EGFR;DPP4;THPO;CCL5;IL12RB1;ELANE;SLAMF1;FGF21;TGFB2;TGFB1;TSLP;TGFB3;WNT3A;EGF;TNFSF13;LIF;VEGFC;IGF1;BMP6;IL2;VEGFA;BMP4;IL4;IL3;KITLG;BMP2;IL6;GDNF;IL7;CLCF1;FGF19;IL9;FGFR3
Positive Regulation of Cellular Process (GO:0048522)	77/622	7.648507970452802E-54	3.996345414561589E-51	0	0	14.901623147494707	1822.5442771895048	IL21;CD86;APP;CSF3;CSF2;FLT1;CSF1;FLT3;FGF1;AREG;TNF;CX3CL1;CXCL5;CXCL16;FGF4;FGF6;FGF7;FGF9;KDR;IL12B;CCN4;IL12A;TIMP1;IL6R;IL11;IL15;TNFRSF18;FLT3LG;ADAM10;NRG1;TNFRSF1B;PGF;TGFBR1;TGFBR2;ADAM17;IFNG;IL1B;KIT;CCL14;CSF1R;PDGFB;EGFR;DPP4;THPO;CCL5;CCL19;IL12RB1;SLAMF1;FGF21;TNFSF18;TGFB2;TGFB1;TSLP;CCL21;TGFB3;WNT3A;EGF;TNFSF13;LIF;VEGFC;IGF1;BMP6;IL2;VEGFA;BMP4;IL4;IL3;KITLG;BMP2;IL6;CXCL12;GDNF;IL7;CLCF1;FGF19;IL9;FGFR3
Regulation of Cell Population Proliferation (GO:0042127)	83/769	1.7432692014566716E-53	7.286865262088887E-51	0	0	13.099365557911476	1591.3272724055996	IL21;CD86;APP;CSF3;CXCL9;CSF2;CXCL8;FLT1;CSF1;FLT3;CXCL1;FGF1;AREG;CX3CL1;CXCL5;FGF4;FGF6;FGF7;FGF9;ADAMTS1;KDR;TIMP1;IL6R;IL10;IL11;IL15;IGFBP3;FLT3LG;ADAM10;NRG1;NGF;PGF;TGFBR1;TGFBR2;IL1A;ADAM17;IFNG;IL1B;KIT;ENG;CCL14;CSF1R;PDGFB;EGFR;DPP4;IFNL1;GPNMB;THPO;IGFBP6;IL12RB1;SLAMF1;FGF21;CCL23;TGFB2;TGFB1;TSLP;TGFB3;WNT3A;EGF;TNFRSF9;TNFSF13;LIF;VEGFC;IGF1;INHBA;BMP6;IL2;VEGFA;BMP4;IL4;CXCL10;IL3;KITLG;BMP2;CXCL11;IL6;GDNF;IL7;CLCF1;FGF19;IL9;FGFR3;PF4
Positive Regulation of Intracellular Signal Transduction (GO:1902533)	76/652	3.8627170462233886E-51	1.3455131044344803E-48	0	0	13.818116272009714	1604.0134162919567	CD86;APP;ECM1;CSF3;FLT1;FLT3;FASLG;TREM2;FGF1;TNF;CX3CL1;FGF4;FGF6;FGF7;LGALS1;FGF9;TNFSF10;KDR;IL12B;LGALS9;IL6R;IL11;IL1R1;ADIPOQ;WNT5A;IL18;F3;DCN;TGFBR1;TGFBR2;TNFRSF1A;TGFBR3;IL1A;IL23A;IL1B;KIT;LTA;CHI3L1;GAS6;ENG;TLR2;CSF1R;PDGFB;EGFR;THPO;CCL5;CCL4;CCL3;CCL19;IGFBP6;FGF21;GDF11;TGFB2;TGFB1;CCL21;ANGPT1;GDF15;TGFB3;EGF;GDF2;LIF;IGF1;INHBA;BMP7;BMP6;VEGFA;BMP4;GH1;BMP2;IL6;CD40LG;FGF19;LEP;TEK;LTBR;FGFR3
Antimicrobial Humoral Immune Response Mediated by Antimicrobial Peptide (GO:0061844)	39/116	6.03361040357036E-45	1.801463677637436E-42	0	0	45.271310507674144	4609.478822717152	CCL14;APP;CXCL6;CCL13;CXCL9;CXCL8;CCL11;CXCL1;CXCL13;CXCL3;CXCL14;CX3CL1;CXCL5;LGALS3;CCL7;CCL5;CCL4;CCL3;CCL2;CCL19;PGLYRP1;CCL18;CCL17;CCL16;CCL15;CCL25;CCL24;CCL23;TSLP;CCL21;CCL20;PPBP;CXCL10;CXCL11;CXCL12;XCL1;CCL28;CCL27;PF4
Positive Regulation of Cytokine Production (GO:0001819)	53/325	6.790764681956632E-43	1.77408727316117E-40	0	0	18.415494717304398	1788.0634249848367	IL21;CD86;APP;CSF2;CD80;CXCL17;IL27;TNF;BSG;IL12B;IL12A;LGALS9;IL6R;IL10;IL1R1;IL15;IL13;ADIPOQ;WNT5A;IL18;IL16;F3;IL1A;IFNG;IL23A;IL1B;CHI3L1;XCL1;TLR2;CSF1R;CD274;EBI3;C5;IFNL1;TNFRSF14;CCL19;IL12RB1;ELANE;CD276;IL32;IL33;TGFB1;TSLP;GDF2;IL2;IL4;IL6;CD40LG;IL7;LEP;IL9;IL17F;IL17D
Positive Regulation of Cell Migration (GO:0030335)	54/344	8.396043745594318E-43	1.949747936476903E-40	0	0	17.66785534062237	1711.7218676007317	FLT1;CSF1;FGF1;CX3CL1;VSIR;CXCL16;PLAU;BSG;KDR;CCN4;MMP7;TNFRSF18;WNT5A;ADAM10;F3;TGFBR1;ADAM17;IFNG;IL1B;KIT;ANGPTL3;ADAM9;XCL1;CCL14;CCL13;CSF1R;CCL11;PDGFB;EGFR;GPNMB;CCL7;CCL5;CCL4;CCL3;CCL2;CCL19;CCL18;CCL16;CCL15;TNFSF18;CCL25;CCL24;CCL23;TGFB2;TGFB1;CCL21;ANGPT1;EGF;IGF1;VEGFA;IL4;BMP2;CXCL12;TEK
Positive Regulation of MAPK Cascade (GO:0043410)	53/362	2.280049660666279E-40	4.5740910434029327E-38	0	0	16.179595940553618	1476.860678880263	APP;FLT1;FLT3;CXCL17;TREM2;FGF1;TNF;CX3CL1;ICAM1;FGF4;FGF6;FGF7;FGF9;KDR;LGALS9;IL6R;IL11;WNT5A;NRG1;IL1B;KIT;ADAM9;CHI3L1;GAS6;CSF1R;PDGFB;EGFR;GPNMB;THPO;CCL3;CCL19;IGFBP6;ELANE;SLAMF1;FGF21;TGFB2;TGFB1;CCL21;ANGPT1;GDF15;EGF;LIF;IGF1;VEGFA;BMP4;GH1;BMP2;IL6;FGF19;LEP;TEK;LTBR;FGFR3
