Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cytokine Signaling in Immune System	107/776	3.221364903479661E-82	2.1325435661035357E-79	0	0	20.06828731020376	3765.657028692956	CD86;APP;CNTF;IL1RN;CSF3;CSF1;CD80;IL1RAP;FGF2;TNF;ICAM1;IL36A;IL12B;IL12A;LGALS9;IL6R;TNFRSF4;IL4R;IL1R1;IL1R2;HGF;FLT3LG;MIF;ADAM17;IL23A;CSF1R;EBI3;IL22RA2;TNFRSF17;TNFRSF14;TNFSF18;TGFB1;VCAM1;TSLP;TNFSF12;TNFRSF9;TNFSF13;LIF;IL2;IL4;CXCL10;GH1;IL3;IL6;IL5;IL7;IL9;LCN2;IL21;IL22;CXCL8;IL25;TNFRSF13B;FLT3;IFNA2;IL24;IL27;CXCL1;FASLG;TNFSF13B;TIMP1;IL10;IL11;TNFRSF12A;IL15;MMP1;TNFRSF18;IL13;MMP3;IL18;IL16;TNFRSF1B;MMP9;TNFRSF1A;IL1A;IFNG;IL1B;LTA;TNFRSF25;CCL11;IL1RL1;IFNL2;IL1RL2;IFNL1;CCL5;CCL4;CCL3;CCL2;CCL19;IL12RB1;IL32;IL33;IL31;CCL20;CD70;IFNB1;IL10RB;OSM;VEGFA;CD40LG;CLCF1;IL2RA;SAA1;IL17F;LTBR;IL17C;IL17A
Signaling by Interleukins	85/452	1.0469931376819334E-75	3.4655472857271996E-73	0	0	25.7883115662877	4452.2993733701005	IL21;CD86;APP;IL22;CNTF;IL1RN;CSF3;CXCL8;IL25;CSF1;CD80;IL24;IL27;CXCL1;FASLG;IL1RAP;FGF2;TNF;ICAM1;IL36A;IL12B;IL12A;LGALS9;TIMP1;IL6R;IL10;IL11;IL4R;IL1R1;IL15;MMP1;IL1R2;HGF;IL13;MMP3;IL18;IL16;MIF;TNFRSF1B;MMP9;TNFRSF1A;IL1A;IFNG;IL23A;IL1B;CSF1R;CCL11;EBI3;IL22RA2;IL1RL1;IFNL2;IL1RL2;IFNL1;CCL5;CCL4;CCL3;CCL2;CCL19;IL12RB1;IL32;IL33;IL31;TGFB1;VCAM1;TSLP;CCL20;IL10RB;LIF;OSM;IL2;VEGFA;IL4;CXCL10;IL3;IL6;IL5;IL7;CLCF1;IL2RA;IL9;SAA1;LCN2;IL17F;IL17C;IL17A
Immune System	135/2150	2.4867564636825096E-62	5.487442596526071E-60	0	0	9.57740334587369	1358.54792718988	CD86;APP;FCN2;CNTF;IL1RN;CSF3;CSF1;CD80;ICAM2;IL1RAP;FGF2;TNF;ICAM1;LGALS3;IL36A;PLAU;IL12B;IL12A;LGALS9;PGLYRP1;IL6R;TNFRSF4;ICOSLG;IL4R;IL1R1;IL1R2;HGF;FLT3LG;ADAM10;MIF;ADAM17;IL23A;CSF1R;CD274;EBI3;IL22RA2;C5;TNFRSF17;TNFRSF14;CD14;ELANE;TNFSF18;TGFB1;VCAM1;TSLP;TNFSF12;TNFRSF9;TNFSF13;LIF;PPBP;IL2;IL4;CXCL10;GH1;IL3;IL6;IL5;SELL;CD209;IL7;IL9;LCN2;IL21;IL22;CXCL8;IL25;TNFRSF13B;FLT3;IFNA2;IL24;IL27;CXCL1;FASLG;TREM2;TREM1;TNFSF13B;TIMP2;OLR1;TIMP1;MBL2;IL10;IL11;TNFRSF12A;IL15;MMP1;TNFRSF18;IL13;MMP3;IL18;PLAUR;IL16;PDCD1LG2;TNFRSF1B;MMP9;TNFRSF1A;IL1A;IFNG;IL1B;LTA;CHI3L1;TNFRSF25;TLR2;CRP;CCL11;RETN;IL1RL1;IFNL2;IL1RL2;IFNL1;CCL5;CCL4;CCL3;CCL2;CCL19;IL12RB1;CCL17;IL32;IL33;IL31;CCL20;CD70;IFNB1;IL10RB;OSM;VEGFA;CD40LG;CLCF1;IL2RA;SAA1;IL17F;PTX3;PDCD1;LTBR;IL17C;IL17A
Interleukin-10 Signaling	30/46	3.4292409201514165E-46	5.675393722850594E-44	0	0	161.5038209606987	16907.2819218497	CD86;CSF3;IL1RN;CXCL8;CSF1;CD80;CXCL1;TNF;ICAM1;CCL5;CCL4;CCL3;CCL2;IL12B;IL12A;CCL19;TIMP1;IL10;CCL20;IL10RB;IL1R1;IL1R2;IL18;LIF;TNFRSF1B;TNFRSF1A;CXCL10;IL1A;IL6;IL1B
Chemokine Receptors Bind Chemokines	30/57	4.295824846819043E-42	5.687672097188413E-40	0	0	95.65259582726831	9110.998740127567	CXCL6;CCL13;CXCL9;CXCL8;CCL11;CXCL1;CXCL13;CXCL3;CX3CL1;CXCL5;CXCL16;CCL7;CCL5;CCL4;CCL3;CCL2;CCL19;CCL17;CCL16;CCL25;CCL21;CCL20;PPBP;CXCL10;CXCL11;CXCL12;XCL1;CCL28;CCL27;PF4
Interleukin-4 and Interleukin-13 Signaling	34/112	1.744258048876577E-37	1.9244980472604898E-35	0	0	38.093561253561255	3224.213088973866	CXCL8;CCL11;FASLG;FGF2;TNF;ICAM1;IL12B;CCL2;IL12A;TIMP1;IL6R;IL10;IL4R;TGFB1;VCAM1;MMP1;HGF;IL13;MMP3;LIF;IL18;OSM;TNFRSF1B;MMP9;VEGFA;IL4;IL1A;IL6;IL23A;IL1B;LCN2;SAA1;IL17F;IL17A
Signal Transduction	111/2613	8.339801037821069E-33	7.8870689814822105E-31	0	0	5.167565947242206	381.6984796990611	CD86;APP;CD80;IL1RAP;CXCL13;FGF1;FGF2;TNF;CXCL16;FGF4;FGF6;FGF7;FGF9;TNFSF10;KDR;IL6R;HGF;WNT5A;FLT3LG;ADAM10;PGF;ADAM17;CD274;PDGFB;C5;TGFB2;TGFB1;TGFB3;WNT3A;GDF2;TNFRSF10A;PPBP;IGF1;INHBA;IL2;CXCL10;IL3;BMP2;CXCL11;IL6;CXCL12;IL5;GDNF;FGF19;FGFR3;CXCL6;CXCL9;CXCL8;FLT1;FLT3;CXCL1;FASLG;CXCL3;AREG;CX3CL1;CXCL5;TIMP2;NEFL;TIMP1;MMP7;MMP3;NRG1;NGF;MMP9;MMP10;TGFBR1;TGFBR2;TNFRSF1A;TGFBR3;KIT;ANGPTL3;XCL1;MET;CCL13;CCL11;EGFR;FSTL3;IL1RL1;GPNMB;CCL7;WIF1;CCL5;CCL4;SPP1;CCL3;CCL2;CCL19;CCL17;CCL16;CCL25;IL32;IL33;CCL23;CCL21;ANGPT1;CCL20;CMA1;EGF;VEGFC;GZMB;VEGFD;VEGFA;KITLG;IL2RA;LEP;SAA1;FAS;TEK;CCL28;CCL27;PF4
Peptide Ligand-Binding Receptors	34/198	2.3328942688924683E-28	1.9304700075085175E-26	0	0	18.038428184281845	1147.6999164824856	APP;CCL13;CXCL6;CXCL9;CCL11;CXCL8;CXCL1;CXCL13;CXCL3;CX3CL1;CXCL5;CXCL16;C5;CCL7;CCL5;CCL4;CCL3;CCL2;CCL19;CCL17;CCL16;CCL25;CCL23;CCL21;CCL20;PPBP;CXCL10;CXCL11;CXCL12;SAA1;XCL1;CCL28;CCL27;PF4
Extracellular Matrix Organization	35/300	2.6075066827032527E-23	1.9179660266106147E-21	0	0	11.483490566037736	597.1537125730172	APP;ICAM2;PDGFB;FGF2;ICAM1;ADAMTS5;EFEMP1;ADAMTS1;BSG;KDR;TIMP2;SPP1;TIMP1;ELANE;TGFB2;TGFB1;VCAM1;MMP7;TGFB3;MMP1;CMA1;MMP3;ADAM10;PCOLCE;BMP7;MMP9;MMP10;DCN;MMP12;BMP4;BCAN;ADAM17;BMP2;MMP13;ADAM9
PI5P, PP2A and IER3 Regulate PI3K AKT Signaling	24/111	8.365510026600392E-23	5.53796763760946E-21	0	0	23.071460014673516	1172.8455103305266	CD86;IL33;FLT3;EGF;CD80;HGF;PDGFB;FLT3LG;NRG1;IL1RAP;FGF1;FGF2;AREG;EGFR;FGF4;FGF6;IL1RL1;FGF7;KITLG;FGF9;FGF19;KIT;FGFR3;MET
