Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Collagen-Containing Extracellular Matrix (GO:0062023)	34/383	7.380950915070061E-19	8.41428404317987E-17	0	0	8.396408787010506	350.55186609301444	FCN2;ECM1;IFNA2;PDGFB;PRELP;ICAM1;LGALS3;LGALS1;EFEMP1;ADAMTS1;TIMP2;LGALS9;ELANE;TGFB2;TGFB1;ANGPT1;GDF15;TGFB3;CMA1;ADIPOQ;WNT5A;PCOLCE;F3;MMP9;DCN;GH1;CXCL12;ANGPTL7;IL7;CLCF1;ANGPTL3;ANGPTL4;TGFBI;PF4
Platelet Alpha Granule Lumen (GO:0031093)	14/66	1.1149086518027581E-13	6.354979315275721E-12	0	0	21.636263736263736	645.2979685590607	APP;TGFB2;TGFB1;EGF;TGFB3;PDGFB;VEGFC;VEGFD;IGF1;PPBP;VEGFA;TIMP1;GAS6;PF4
Endoplasmic Reticulum Lumen (GO:0005788)	23/289	4.248262550258743E-12	1.6143397690983224E-10	0	0	7.135290556900727	186.83409427716586	APP;CSF1;WNT3A;IGFBP3;EBI3;WNT5A;PDGFB;PLAUR;PCSK9;ADAM10;IL27;MSLN;FSTL3;BMP4;ADAMTS5;ADAM17;IL6;LGALS1;IL23A;IL12B;IL12A;TIMP1;GAS6
Platelet Alpha Granule (GO:0031091)	14/90	9.878455925780684E-12	2.815359938847495E-10	0	0	14.785714285714286	374.67983100956934	APP;TGFB2;TGFB1;EGF;TGFB3;PDGFB;VEGFC;VEGFD;IGF1;PPBP;VEGFA;TIMP1;GAS6;PF4
Secretory Granule Lumen (GO:0034774)	23/316	2.6310065448053158E-11	5.99869492215612E-10	0	0	6.468791577485972	157.58668141560096	APP;ECM1;TGFB2;TGFB1;TGFB3;EGF;PDGFB;VEGFC;VEGFD;CXCL1;PPBP;IGF1;RETN;VEGFA;TIMP2;LCN2;CHI3L1;PTX3;TIMP1;PGLYRP1;GAS6;ELANE;PF4
Intracellular Organelle Lumen (GO:0070013)	37/912	6.985390499587206E-10	1.3272241949215692E-8	0	0	3.5935238095238096	75.7587768779086	APP;CSF3;CSF1;EBI3;PDGFB;PCSK9;IL27;CXCL1;PRELP;MSLN;EGFR;FSTL3;ADAMTS5;LGALS1;TIMP2;IL12B;IL12A;TIMP1;PGLYRP1;TGFB1;WNT3A;IGFBP3;WNT5A;PLAUR;ADAM10;PPBP;NGF;MMP9;DCN;BMP4;BCAN;GH1;ADAM17;IL6;IL23A;PTX3;GAS6
Membrane Raft (GO:0045121)	16/171	8.152490188160225E-10	1.3276912592146652E-8	0	0	8.320084959511483	174.11880683242757	APP;ANGPT1;TNFRSF10A;TREM2;TNFRSF1B;TNF;SELE;TGFBR1;EGFR;TGFBR2;TNFRSF1A;MMP12;ADAM17;KDR;TEK;TLR2
Serine-Type Peptidase Complex (GO:1905286)	6/12	3.853029704436987E-9	5.490567328822707E-8	0	0	78.00395256916995	1511.2802515083863	FCN2;THBD;PLAU;PLAUR;F3;MBL2
Specific Granule (GO:0042581)	13/159	1.604335162100793E-7	2.0321578719943374E-6	0	0	7.092521438913019	110.96523711034042	PLAUR;ADAM10;CXCL1;RETN;TNFRSF1B;PLAU;LCN2;TIMP2;OLR1;CHI3L1;PTX3;PGLYRP1;ELANE
Serine-Type Endopeptidase Complex (GO:1905370)	5/12	2.576612329329634E-7	2.9373380554357827E-6	0	0	55.49493813273341	841.9481224565644	FCN2;THBD;PLAU;PLAUR;MBL2
Golgi Lumen (GO:0005796)	10/99	6.319186042513156E-7	6.057474929506025E-6	0	0	8.86783087405803	126.58389829545098	APP;BCAN;TGFB1;WNT3A;WNT5A;PDGFB;PRELP;NGF;GAS6;DCN
Endopeptidase Complex (GO:1905369)	5/14	6.376289399480027E-7	6.057474929506025E-6	0	0	43.1583552055993	615.6759184914109	FCN2;THBD;PLAU;PLAUR;MBL2
