Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cytokine-cytokine receptor interaction	138/295	4.70834679103316E-194	7.815855673115046E-192	0	0	142.2641469705743	63329.193907043635	CNTF;IL1RN;CSF3;CSF2;CSF1;CXCL17;IL1RAP;CXCL13;CXCL14;TNF;CXCL16;IL36A;TNFSF10;IL12B;IL12A;IL6R;TNFRSF4;IL4R;IL1R1;IL1R2;IL23A;CSF1R;EBI3;THPO;TNFRSF17;TNFRSF14;TNFSF18;TGFB2;TGFB1;TSLP;TGFB3;TNFSF12;TNFRSF9;TNFSF13;GDF2;LIF;TNFRSF10A;PPBP;INHBA;BMP7;BMP6;IL2;BMP4;IL4;BMP3;CXCL10;GH1;IL3;BMP2;CXCL11;IL6;CXCL12;IL5;IL7;IL9;IL21;IL22;CXCL6;CXCL9;CXCL8;IL25;TNFRSF13B;IFNA2;IL24;IL27;CXCL1;FASLG;CXCL3;CX3CL1;CXCL5;TNFSF13B;IL10;IL11;TNFRSF12A;IL15;TNFRSF18;IL13;IL18;IL16;NGF;TNFRSF1B;TGFBR1;TGFBR2;TNFRSF1A;IL1A;IFNG;IL1B;IFNE;LTA;XCL1;TNFRSF25;TNFRSF21;CCL14;CCL13;CCL11;IL1RL1;IFNL2;IL1RL2;IFNL1;CCL7;CCL5;CCL4;CCL3;CCL2;CCL19;CCL18;IL12RB1;CCL17;CCL16;CCL15;CCL25;IL32;CCL24;GDF11;IL33;CCL23;IL31;CCL21;CCL20;CD70;GDF15;IFNB1;IL10RB;OSM;CD40LG;CLCF1;IL2RA;LEP;FAS;IL17F;LTBR;IL17D;CCL28;IL17C;CCL27;IL17B;PF4;IL17A
Viral protein interaction with cytokine and cytokine receptor	53/100	1.613172773484999E-74	1.338933401992549E-72	0	0	107.80644494939062	18317.726611798476	CXCL6;CXCL9;CXCL8;CSF1;IL24;CXCL1;CXCL13;CXCL3;CXCL14;TNF;CX3CL1;CXCL5;TNFSF10;IL6R;IL10;IL18;TNFRSF1B;TNFRSF1A;LTA;XCL1;CCL14;CSF1R;CCL13;CCL11;CCL7;CCL5;CCL4;CCL3;CCL2;TNFRSF14;CCL19;CCL18;CCL17;CCL16;CCL15;CCL25;CCL24;CCL23;CCL21;CCL20;IL10RB;TNFRSF10A;PPBP;IL2;CXCL10;CXCL11;IL6;CXCL12;IL2RA;LTBR;CCL28;CCL27;PF4
Rheumatoid arthritis	37/93	6.317005683844785E-46	3.495409811727448E-44	0	0	58.586309523809526	6097.409355941975	CD86;CXCL6;CSF2;CXCL8;FLT1;CSF1;CD80;CXCL1;CXCL3;TNF;CXCL5;ICAM1;TNFSF13B;CCL5;CCL3;CCL2;IL11;TGFB2;TGFB1;ANGPT1;IL15;MMP1;CCL20;TGFB3;MMP3;TNFSF13;IL18;VEGFA;IL1A;IL6;CXCL12;IFNG;IL23A;IL1B;TEK;TLR2;IL17A
JAK-STAT signaling pathway	42/162	5.797642116445528E-43	2.4060214783248945E-41	0	0	31.64677419354839	3077.766126924699	IL21;IL22;CNTF;CSF3;CSF2;IFNA2;IL24;PDGFB;EGFR;IL22RA2;IFNL2;IFNL1;THPO;IL12B;IL12A;IL12RB1;IL6R;IL10;IL11;IL4R;TSLP;IL15;EGF;IFNB1;IL10RB;IL13;LIF;OSM;IL2;IL4;GH1;IL3;IL6;IL5;IFNG;IL23A;IL7;IFNE;IL2RA;LEP;IL9;IL17D
Pathways in cancer	57/531	6.66054087388056E-36	2.2112995701283464E-34	0	0	11.469889710490037	929.025081539802	CXCL8;FLT3;IFNA2;FASLG;FGF1;FGF2;FGF4;FGF6;FGF7;FGF9;IL12B;IL12A;IL6R;IL4R;IL15;MMP1;HGF;IL13;WNT5A;FLT3LG;MMP9;PGF;TGFBR1;TGFBR2;IFNG;IL23A;KIT;MET;CSF1R;PDGFB;EGFR;IL12RB1;FGF21;TGFB2;TGFB1;TGFB3;WNT3A;EGF;VEGFC;VEGFD;IGF1;IL2;VEGFA;BMP4;IL4;IL3;KITLG;BMP2;IL6;CXCL12;IL5;IL7;FGF19;IL2RA;FAS;CYCS;FGFR3
IL-17 signaling pathway	31/94	1.5714852079992663E-35	4.347775742131303E-34	0	0	42.468532442216656	3403.3626648062123	CXCL6;CSF3;CSF2;CXCL8;CCL11;IL25;CXCL1;CXCL3;TNF;CXCL5;CCL7;CCL2;CCL17;MMP1;CCL20;IL13;MMP3;MMP9;IL4;CXCL10;IL6;MMP13;IL5;IFNG;IL1B;LCN2;IL17F;IL17D;IL17C;IL17B;IL17A
MAPK signaling pathway	45/294	4.138315176221172E-35	9.813718846467352E-34	0	0	16.460984123409524	1303.2192326052016	CSF1R;FLT1;CSF1;FLT3;PDGFB;FASLG;IL1RAP;FGF1;AREG;FGF2;TNF;EGFR;FGF4;FGF6;FGF7;FGF9;KDR;CD14;FGF21;TGFB2;TGFB1;ANGPT1;IL1R1;TGFB3;EGF;HGF;FLT3LG;VEGFC;VEGFD;IGF1;NGF;PGF;TGFBR1;VEGFA;TGFBR2;TNFRSF1A;IL1A;KITLG;IL1B;FGF19;KIT;FAS;TEK;FGFR3;MET
PI3K-Akt signaling pathway	47/354	9.2269972451911E-34	1.9146019283771533E-32	0	0	14.034140495359843	1067.5175555936214	CSF1R;CSF3;FLT1;CSF1;FLT3;IFNA2;PDGFB;FASLG;FGF1;AREG;FGF2;EGFR;FGF4;FGF6;FGF7;FGF9;KDR;SPP1;IL6R;FGF21;IL4R;ANGPT1;IFNB1;EGF;HGF;OSM;FLT3LG;VEGFC;VEGFD;IGF1;NGF;PGF;IL2;VEGFA;IL4;GH1;IL3;KITLG;IL6;IL7;FGF19;IL2RA;KIT;TEK;FGFR3;MET;TLR2
Chemokine signaling pathway	36/192	2.0403697020828482E-31	3.763348561619475E-30	0	0	20.26733356329769	1432.23180005012	CCL14;CXCL6;CCL13;CXCL9;CXCL8;CCL11;CXCL1;CXCL13;CXCL3;CXCL14;CX3CL1;CXCL5;CXCL16;CCL7;CCL5;CCL4;CCL3;CCL2;CCL19;CCL18;CCL17;CCL16;CCL15;CCL25;CCL24;CCL23;CCL21;CCL20;PPBP;CXCL10;CXCL11;CXCL12;XCL1;CCL28;CCL27;PF4
Inflammatory bowel disease	24/65	4.158639277788437E-29	6.903341201128807E-28	0	0	49.07109496626881	3206.7852492532406	IL21;IL10;IL22;TGFB2;IL4R;TGFB1;TGFB3;IL13;IL18;TNF;IL2;IL4;IL1A;IL6;IL5;IFNG;IL23A;IL1B;IL12B;IL12A;IL17F;IL12RB1;TLR2;IL17A
TNF signaling pathway	28/112	2.366128354223091E-28	3.570702789100301E-27	0	0	28.365079365079364	1804.3346826007153	CXCL6;CSF2;CSF1;CXCL1;CXCL3;TNF;CX3CL1;CXCL5;ICAM1;CCL5;CCL2;VCAM1;IL15;CCL20;IFNB1;MMP3;LIF;VEGFC;VEGFD;TNFRSF1B;SELE;MMP9;TNFRSF1A;CXCL10;IL6;IL1B;LTA;FAS
Malaria	20/50	2.7920049867558986E-25	3.862273565012326E-24	0	0	54.98186889818689	3108.5576106332996	IL10;CSF3;TGFB2;CXCL8;TGFB1;VCAM1;TGFB3;HGF;IL18;TNF;SELE;ICAM1;IL6;CD40LG;IFNG;IL1B;CCL2;IL12A;MET;TLR2
Hematopoietic cell lineage	24/99	4.3125258692396304E-24	5.506763802259836E-23	0	0	26.779234042553192	1440.736675206103	CSF1R;IL11;CSF3;CSF2;IL4R;CSF1;IL1R1;FLT3;IL1R2;FLT3LG;TNF;IL4;IL3;IL1A;IL6;KITLG;IL5;THPO;IL7;IL1B;IL2RA;KIT;CD14;IL6R
Intestinal immune network for IgA production	19/48	5.756064674372842E-24	6.825048113899226E-23	0	0	53.811494252873565	2879.5492835567266	CD86;CCL25;IL10;TGFB1;TNFRSF13B;IL15;CD80;TNFSF13;IL2;TNFSF13B;IL4;IL6;CD40LG;CXCL12;IL5;TNFRSF17;LTBR;CCL28;ICOSLG
